TIMESTAMP,TIMESTAMP_DATE,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
2025-02-01,2025-02-01,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.17955078125,0.6814287681325195,256,-1.0,7.802,0.034273437500000004,0.11343538990907351,0.2768828125,0.311171875,34583,94174,0.6320322310500001,0.010967396
2025-02-01,2025-02-01,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),-0.026621093749999998,0.5099507175192588,256,-1.0,1.741,-0.00460546875,0.1258006694758169,0.11476171875,0.110140625,34583,94174,0.7290601755735294,0.029954462
2025-02-01,2025-02-01,DashPass Aided Awareness (DD users),0.026855468750000003,0.3473611086651942,256,-1.0,3.684,0.0021328125,0.13249170872134589,0.6952304687499999,0.697359375,34583,94174,0.5920298627432433,0.004351785
2025-02-01,2025-02-01,DashPass Aided Awareness (DD aware non-users),0.0901015625,0.8414791117591455,256,-1.0,9.011,-0.007164062499999999,0.10002029420298152,0.09545703125,0.08833984375,34583,94174,0.5703945997179487,0.002459395
2025-02-01,2025-02-01,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.02667578125,0.29476242404152925,256,-1.0,3.0,0.013890625,0.1542413049317815,0.60010546875,0.61396484375,34583,94174,0.580260169960265,0.005318614
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Household Essentials,0.07317968749999999,0.4328186494041804,256,-1.0,2.919,0.004371093750000001,0.11829669821347845,0.3462578125,0.3506328125,30979,81319,0.6228492797160493,0.012214862
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Prepared Restaurant Food,0.008519531249999998,0.3322011669204502,256,-1.0,3.0,-0.00539453125,0.17296581496482497,0.599890625,0.5945,30979,81319,0.7531792832407407,0.023211819
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Pet Supplies,0.14171875,0.6349421704406801,256,-1.0,7.282,0.0108984375,0.2209687171486799,0.3550859375,0.36597265625000003,30979,81319,0.6155605016211181,0.005364299
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Personal Care & Beauty,0.0551015625,0.45320019970997005,256,-1.0,5.596,0.0165625,0.15501070171784537,0.358828125,0.37541796875,30979,81319,0.5366154734968944,0.030729059
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0.0248984375,0.37181322192405836,256,-1.0,3.343,-0.00761328125,0.15019825740932888,0.45837890625,0.45078125,30979,81319,0.6433044512098766,0.000957549
