CHANNEL,METRIC_NAME,TIME_PERIOD,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean,EXPOSED_POPULATION_sum,CONTROL_POPULATION_sum,CV,IS_CONSISTENT
OTT,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,Unknown,0.0121173970975,0.03228146795385896,4,0.30477623347575,0.610847987575,0.306071754075,0.2820746729,6346,3602,2.664059590860409,False
OTT,DashPass Benefits Awareness: Discounted rides with Lyft,Unknown,0.0231898818975,0.05793128203373543,4,0.2490757170205,0.486406433375,0.23733071634999997,0.3289797914,6346,3602,2.4981275148270914,False
OTT,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,Unknown,0.0759155879125,0.14396213516896475,4,0.25949750888425,0.4687488526,0.20925134372499998,0.343422707375,6346,3602,1.8963448631247501,False
OTT,DashPass Benefits Awareness: Reduced service fees on eligible orders,Unknown,0.01862363628,0.0549477428180313,4,0.3027195041825,0.600998186675,0.298278682475,0.422654087725,6346,3602,2.950430409610174,False
OTT,DashPass Benefits: Consistently adds valuable perks and benefits for members,Unknown,0.0151659779915,0.03192974646794281,4,0.30496605757325,0.6074914444,0.30252538682499996,0.187859065525,6346,3602,2.1053536069904832,False
OTT,DashPass Benefits: Makes members' lives better,Unknown,0.0452965100325,0.0826400386279798,4,0.32757322897600005,0.6265681032,0.2989948742,0.38373183712500003,6346,3602,1.8244239692790023,False
OTT,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",Unknown,0.02187285728,0.03134147513011537,4,0.28521367829,0.5628158439,0.277602165625,0.33829514844999997,6346,3602,1.43289350489994,False
OTT,DashPass Benefits: Save more than other delivery subscription services,Unknown,0.015100484580999999,0.02664122939626663,4,0.28872794679925,0.5791845275,0.2904565807,0.1987276378,6346,3602,1.7642632097904747,False
OTT,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,Unknown,0.010979832781000001,0.0232702296154877,4,0.303411896879,0.613325999625,0.30991410275,0.14936674625250002,6346,3602,2.1193610212129603,False
OTT,DashPass Worth,Unknown,0.023097887206,0.04943999108409333,4,0.1536884584615,0.305450020125,0.15176156165,0.16423410122499998,6346,3602,2.140455126616542,False
OTT,First Choice Consideration,Unknown,-0.025380712567499998,0.029496878982155958,4,0.104281417105,0.221133337775,0.116851920675,0.2696117221,6346,3602,1.1621769445483068,False
OTT,More than Restaurant Aided Awareness,Unknown,-0.0121253229,0.014074358015679465,4,0.3576332111375,0.7458590533,0.38822584215,0.33822681779999997,6346,3602,1.160740883500881,False
OTT,More than Restaurant Aided Awareness: Alcoholic Beverages,Unknown,-0.0217175472475,0.03159204146432177,4,0.19101918948649999,0.411124411125,0.22010522165000002,0.278166123225,6346,3602,1.4546781505429194,False
OTT,More than Restaurant Aided Awareness: Baby Supplies,Unknown,-0.01306045932675,0.023622160859601265,4,0.179827155381,0.37258034485,0.19275318947499998,0.23602128628500002,6346,3602,1.8086776482063796,False
OTT,More than Restaurant Aided Awareness: Flowers,Unknown,-0.01595805666,0.01906859808196816,4,0.17321335129275,0.364559185325,0.19134583405,0.254551943025,6346,3602,1.1949198131226688,False
OTT,More than Restaurant Aided Awareness: Fresh Food & Produce,Unknown,-0.0012512733249999998,0.022270817496107237,4,0.22393102405,0.452389184625,0.228458160575,0.249944140675,6346,3602,17.798523353086935,False
