CHANNEL,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
Social,BA MDS: Sets trends,0.039947916666666666,0.12925342368735931,192,-0.667,0.869,0.036046875,0.12949742923573782,0.7105156250000001,0.746578125,49711,148512,0.6398158709875,0.003226748
Tv,Consideration (Top 2 Box),0.03965625,0.21748651414531095,192,-1.0,1.214,0.026442708333333332,0.14865063877187415,0.7260260416666666,0.7524375,73537,88668,0.7479832397962963,0.032567046
Any,BA: Has my favorite brands or stores,0.039213541666666664,0.12891306061785254,192,-0.6,0.629,0.037447916666666664,0.13603128449782848,0.684734375,0.7221979166666667,15289,108034,0.6407478848514851,0.013555723
Social,BA: Offers a wide selection of brands or stores across a variety of categories,0.03910416666666667,0.21777698757588354,192,-1.0,1.647,0.024927083333333332,0.1501150166223628,0.7537604166666667,0.7786927083333333,49711,148512,0.4934811157484276,0.008898976
Tv,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.038453125,0.29623370194526105,192,-1.0,3.0,0.018010416666666668,0.16509416604034946,0.6541979166666666,0.6721822916666667,73537,88668,0.6399790453181818,0.003377848
Any,More than Restaurant Aided Awareness: Flowers,0.0378125,0.3284614718375283,192,-1.0,1.7,-0.0019166666666666661,0.13301719502015397,0.334046875,0.332109375,15289,108034,0.4959417088,0.00047004
Digital,More than Restaurant Aided Awareness: Baby Supplies,0.03613541666666667,0.6443513499594687,192,-1.0,7.214,-0.006567708333333334,0.15170115841640044,0.2828541666666667,0.2763333333333333,16012,14533,0.38829729556410253,0.003563677
Social,Unaided Brand Awareness (Any Mention) - Amazon,0.03611458333333333,0.5088827896561274,192,-1.0,3.92,-0.006182291666666667,0.16232238976433455,0.2744947916666667,0.26825,49711,148512,0.6407274991062499,0.019436907
Tv,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.03558854166666667,0.2966659102026994,192,-1.0,3.0,0.017916666666666668,0.15960144514210547,0.6397291666666667,0.6576093749999999,73537,88668,0.6433916931428572,0.041519926
Social,Unaided Brand Awareness (Any Mention) - Instacart,0.03494791666666666,0.59192682740426,192,-1.0,4.739,-0.007484375000000001,0.08407494640628618,0.20809375,0.200609375,49711,148512,0.557853879225,0.011774771
Social,More than Restaurant Consideration: Alcoholic Beverages,0.034145833333333334,0.3857901928019025,192,-0.727,2.935,0.004234374999999999,0.145229957626784,0.3604479166666667,0.3646770833333333,49711,148512,0.5786054757484277,0.006288949
Social,More than Restaurant Consideration: Household Essentials,0.03368229166666667,0.41869320272650773,192,-0.853,3.305,-0.0030989583333333333,0.12683776007604436,0.34725520833333334,0.34419791666666666,49711,148512,0.62244915428125,0.008355109
Tv,DashPass Actions – Saw a Deal,0.03364583333333333,0.19613193973342316,192,-1.0,0.794,0.006989583333333333,0.07392227342774302,0.10593229166666666,0.11293229166666667,40444,47900,0.8250654865454546,0.135545547
Social,BA: Has my favorite brands or stores,0.033442708333333335,0.1272105351796358,192,-0.667,0.869,0.027807291666666668,0.13138656186099362,0.7309687500000001,0.758734375,49711,148512,0.5793107788805032,0.014233168
Digital,DashPass Aided Awareness (DD users),0.03343229166666667,0.392197147773186,192,-1.0,3.684,0.0027447916666666666,0.17048376647768282,0.597375,0.600125,16012,14533,0.5156940041756757,0.023583999
Digital,Unaided Brand Awareness (Any Mention),0.033354166666666664,0.42466209490800794,192,-1.0,2.535,-0.001093750000000001,0.16071828809526387,0.38483854166666664,0.3837447916666667,16012,14533,0.38986920012658227,0.007485715
Any,More than Restaurant Aided Awareness,0.033005208333333334,0.3260793193163593,192,-1.0,3.614,0.016130208333333333,0.16851140289211414,0.721734375,0.737890625,15289,108034,0.5073111624949496,0.040557006
Any,Unaided Brand Awareness (Any Mention) - Amazon,0.0323125,0.6711296144740476,192,-1.0,7.312,-0.017614583333333333,0.1526553363737596,0.269546875,0.2518958333333333,15289,108034,0.6133279129809525,0.017905674
Tv,DashPass Aided Awareness,0.03158333333333333,0.4340671206973711,192,-1.0,5.479,0.003875,0.16371074926248352,0.8334947916666667,0.8373645833333333,73537,88668,0.6670595569202898,0.005069581
Tv,DashPass Actions – Talked to others,0.031145833333333334,0.1955489242175796,192,-1.0,0.68,0.009479166666666667,0.06705283986031711,0.10303125,0.11252083333333333,40444,47900,0.8000166701636363,0.041922655
Tv,BA MDS: Is different,0.030234374999999997,0.2025698567778533,192,-1.0,1.216,0.02340625,0.14964247640985262,0.7048072916666667,0.7282135416666667,73537,88668,0.7396916327901235,0.010713011
Digital,More than Restaurant Consideration: Prepared Restaurant Food,0.029630208333333335,0.34619239834852217,192,-1.0,2.026,0.020755208333333334,0.1795485247714398,0.471875,0.4926875,16012,14533,0.6032306656582278,0.014768893
Any,Brand Familiarity,0.027973958333333337,0.13916442626683112,192,-1.0,0.687,0.037307291666666666,0.16868743160076,0.763640625,0.800875,15289,108034,0.674714322867347,0.022811526
Tv,BA: Offers a wide selection of brands or stores across a variety of categories,0.027953125,0.18553638920150392,192,-1.0,0.726,0.018567708333333332,0.1341966034438748,0.7772656250000001,0.79578125,73537,88668,0.7429898343271605,0.039732794
Social,More than Restaurant Aided Awareness: Alcoholic Beverages,0.027713541666666664,0.3524766320633776,192,-1.0,2.659,0.0006250000000000003,0.13548657706741662,0.41129687499999995,0.41190625,49711,148512,0.56163937836875,0.002054041
Social,Brand Familiarity,0.027130208333333336,0.18137294522802827,192,-1.0,1.314,0.019947916666666666,0.15422410903343,0.8145572916666667,0.8344791666666667,49711,148512,0.567845510445946,0.011914109
Digital,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.02661458333333333,0.400615230262343,192,-1.0,3.368,0.0035885416666666674,0.12879941983039936,0.4464166666666667,0.45001562500000003,16012,14533,0.4193700348571428,0.020135305
Social,More than Restaurant Aided Awareness: Health & Medicine,0.026218750000000002,0.41559736110518275,192,-1.0,3.759,-0.006541666666666667,0.15229300889556363,0.38280729166666666,0.376265625,49711,148512,0.5214002921125,0.002077904
Tv,Unaided Brand Awareness (Any Mention) - Amazon,0.025526041666666662,0.5185344423513913,192,-1.0,4.927,-0.012223958333333335,0.10937038683864049,0.26771875,0.25546874999999997,73537,88668,0.5335053551358024,0.003929291
Tv,DashPass Aided Awareness (DD users),0.025473958333333335,0.48410534891392887,192,-1.0,5.479,-0.0033229166666666667,0.15037676903629119,0.7503333333333333,0.7470260416666666,73537,88668,0.5749989569477124,0.004351785
Social,BA: Is a brand I trust,0.022770833333333334,0.1312387999044072,192,-0.27,0.869,0.021291666666666667,0.12598661249136994,0.738765625,0.7600937499999999,49711,148512,0.5403992419044585,0.000278693
Social,More than Restaurant Aided Awareness,0.02276041666666667,0.21823291965413452,192,-1.0,1.35,0.012151041666666668,0.15435294124218513,0.7532187499999999,0.7653541666666667,49711,148512,0.5379189242704402,0.003230086
Tv,DashPass Worth,0.022223958333333335,0.28099920226630887,192,-1.0,1.038,0.0034739583333333337,0.11261698675473222,0.322421875,0.325859375,73537,88668,0.5544600294187501,0.005982415
Social,BA: Makes my life easier,0.018848958333333336,0.14319500524705836,192,-1.0,0.869,0.019072916666666665,0.14605530364689154,0.7510729166666666,0.7701302083333333,49711,148512,0.5851990333630573,0.00305954
