CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID
1,73.50846398,174.6542521,0.296210749,282,,0.024700224,155,328,0.320910973,483,0.083387332,955952,More than Restaurant Consideration: Baby Supplies,0.523209928,22237599
1,88.21152377,159.9511923,0.355458407,282,,-0.015913894,164,319,0.339544514,483,-0.044770059,955953,More than Restaurant Consideration: Pet Supplies,0.34480875,22237599
1,82.59813875,165.5645773,0.332838631,282,,0.031550603,176,307,0.364389234,483,0.09479249,955954,More than Restaurant Consideration: Health & Medicine,0.621697922,22237599
1,153.2752294,46.68319887,0.617640038,282,,0.011759548,304,98,0.629399586,483,0.019039484,964357,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.254154162,22237599
1,86.01103646,133.0026586,0.346591292,282,,0.026079515,180,252,0.372670808,483,0.075245731,964358,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.530708439,22237599
1,25.48994809,193.523747,0.102714656,282,,-0.013687741,43,389,0.089026915,483,-0.133259865,964359,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.468435542,22237599
1,26.37727416,221.7854419,0.106290238,282,,0.051059658,76,407,0.157349897,483,0.480379566,964360,DashPass Aided Awareness (DD aware non-users),0.951384397,22237599
1,173.5811541,45.43254095,0.69946508,282,,-0.02451684,326,106,0.67494824,483,-0.035050842,964361,DashPass Aided Awareness (DD users),0.518336363,22237599
1,97.82395989,57.33367401,0.394192816,282,,-0.050507516,166,100,0.3436853,483,-0.128128961,964362,Unaided Brand Awareness (Any Mention) - Uber Eats,0.839093273,22237599
1,57.39407796,85.97224462,0.231275991,282,,-0.030447833,97,130,0.200828157,483,-0.131651509,964363,Unaided Brand Awareness (Any Mention) - Instacart,0.679724941,22237599
1,32.54050684,99.50690305,0.131125688,282,,-0.023465232,52,164,0.107660456,483,-0.178952216,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0.671235483,22237599
1,76.35816795,150.0006003,0.337332495,256,,-0.002182631,123,244,0.335149864,367,-0.006470265,1009176,DashPass Actions – Talked to others,0.045250046,22237599
1,49.56477177,169.4489233,0.199726907,282,,0.028016364,110,322,0.227743271,483,0.140273358,1022757,First Choice Consideration,0.635204253,22237599
1,168.5980604,79.56465566,0.679385135,282,,0.016267039,336,147,0.695652174,483,0.023943766,1059334,More than Restaurant Consideration,0.361050267,22237599
1,0,0,0,0,,0,0,0,0,0,0,2,Aided Awareness,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,109095,Unaided Brand Awareness (First Mention),0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955538,Brand Familiarity,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955548,BA: Makes my life easier,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955550,BA: Is a brand I trust,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955555,BA MDS: Meets needs,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955557,BA MDS: Sets trends,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955560,DashPass Worth,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955562,DashPass Benefits: Consistently adds valuable perks and benefits for members,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955564,DashPass Benefits: Save more than other delivery subscription services,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955566,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955568,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955939,More than Restaurant Aided Awareness: Household Essentials,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955942,More than Restaurant Aided Awareness: Pet Supplies,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955943,More than Restaurant Aided Awareness: Health & Medicine,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955944,More than Restaurant Consideration: Prepared Restaurant Food,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955945,More than Restaurant Consideration: Fresh Food & Produce,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955946,More than Restaurant Consideration: Alcoholic Beverages,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955948,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955949,More than Restaurant Consideration: Personal Care & Beauty,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955950,More than Restaurant Consideration: Household Essentials,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955951,More than Restaurant Consideration: Flowers,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955952,More than Restaurant Consideration: Baby Supplies,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955953,More than Restaurant Consideration: Pet Supplies,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955954,More than Restaurant Consideration: Health & Medicine,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964357,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964358,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964359,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964360,DashPass Aided Awareness (DD aware non-users),0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964361,DashPass Aided Awareness (DD users),0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964362,Unaided Brand Awareness (Any Mention) - Uber Eats,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964363,Unaided Brand Awareness (Any Mention) - Instacart,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964364,Unaided Brand Awareness (Any Mention) - Amazon,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,1009175,DashPass Actions – Saw a Deal,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,1009176,DashPass Actions – Talked to others,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,1022756,Consideration (Top 2 Box),0,24968945
1,0,0,0,0,,0,0,0,0,0,0,1022757,First Choice Consideration,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,1059333,More than Restaurant Aided Awareness,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,1059334,More than Restaurant Consideration,0,24968945
1,0,0,0,0,,0,0,0,0,0,0,955556,BA MDS: Is different,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955557,BA MDS: Sets trends,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955558,DashPass Aided Awareness,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955560,DashPass Worth,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955561,DashPass Benefits: Makes members' lives better,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955562,DashPass Benefits: Consistently adds valuable perks and benefits for members,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955563,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955564,DashPass Benefits: Save more than other delivery subscription services,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955565,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955566,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955567,DashPass Benefits Awareness: Reduced service fees on eligible orders,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955568,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955569,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955570,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955924,More than Restaurant Aided Awareness: Prepared Restaurant Food,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955936,More than Restaurant Aided Awareness: Alcoholic Beverages,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955938,More than Restaurant Aided Awareness: Personal Care & Beauty,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955939,More than Restaurant Aided Awareness: Household Essentials,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955942,More than Restaurant Aided Awareness: Pet Supplies,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955944,More than Restaurant Consideration: Prepared Restaurant Food,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955946,More than Restaurant Consideration: Alcoholic Beverages,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955948,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955949,More than Restaurant Consideration: Personal Care & Beauty,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955951,More than Restaurant Consideration: Flowers,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,955953,More than Restaurant Consideration: Pet Supplies,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964357,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964359,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964361,DashPass Aided Awareness (DD users),0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964362,Unaided Brand Awareness (Any Mention) - Uber Eats,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964363,Unaided Brand Awareness (Any Mention) - Instacart,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964364,Unaided Brand Awareness (Any Mention) - Amazon,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,1009175,DashPass Actions – Saw a Deal,0,24968955
