CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,0,0,0,0,,0.3661971831,26,44,0.3661971831,71,0,1022757,First Choice Consideration,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.7887323944,56,15,0.7887323944,71,0,1059334,More than Restaurant Consideration,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,219.013695061,29.14902097,0.8825406917,282,,0.01186924618,432,51,0.8944099379,483,0.01344895062,2,Aided Awareness,0.3873058887,22237599,Site All Hits: YouTube,Site All Hits
1,59.379445434,188.783270597,0.2392762554,282,,-0.04051849147,96,387,0.198757764,483,-0.169337703,109095,Unaided Brand Awareness (First Mention),0.8127935137,22237599,Site All Hits: YouTube,Site All Hits
1,184.149705231,34.86398983,0.7420522638,282,,0.01778210469,367,65,0.7598343685,483,0.02396341276,955547,BA: Offers a wide selection of brands or stores across a variety of categories,0.417938682,22237599,Site All Hits: YouTube,Site All Hits
1,168.658183038,50.355512023,0.6796274063,282,,0.03051752123,343,89,0.7101449275,483,0.04490331165,955549,BA: Has my favorite brands or stores,0.6252678772,22237599,Site All Hits: YouTube,Site All Hits
1,154.525288224,64.488406837,0.6226772929,282,,0.02535583336,313,119,0.6480331263,483,0.04072066487,955551,BA: Is an essential part of my life,0.5187443897,22237599,Site All Hits: YouTube,Site All Hits
1,158.692941368,60.320753694,0.6394713271,282,,0.0458288799,331,101,0.685300207,483,0.07166682532,955556,BA MDS: Is different,0.8060087889,22237599,Site All Hits: YouTube,Site All Hits
1,199.958428264,19.055266798,0.8057553184,282,,0.02654281827,402,30,0.8322981366,483,0.03294153655,955558,DashPass Aided Awareness,0.6460373259,22237599,Site All Hits: YouTube,Site All Hits
1,152.571534812,47.386893451,0.6148044205,282,,0.06014381969,326,76,0.6749482402,483,0.09782593893,955561,DashPass Benefits: Makes members' lives better,0.9081132394,22237599,Site All Hits: YouTube,Site All Hits
1,149.533780396,50.424647868,0.6025634422,282,,0.02683614373,304,98,0.6293995859,483,0.04453662776,955563,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.5391998782,22237599,Site All Hits: YouTube,Site All Hits
1,141.402978003,58.555450261,0.5697994456,282,,0.03682581324,293,109,0.6066252588,483,0.06462942975,955565,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.6827889837,22237599,Site All Hits: YouTube,Site All Hits
1,160.607381821,39.351046443,0.6471857835,282,,0.004988129501,315,87,0.652173913,483,0.007707415131,955566,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.1110027105,22237599,Site All Hits: YouTube,Site All Hits
1,150.794796467,49.163631797,0.6076448504,282,,0.007261981861,297,105,0.6149068323,483,0.01195103004,955567,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.1576355606,22237599,Site All Hits: YouTube,Site All Hits
1,159.690737784,40.26769048,0.6434920617,282,,-0.03893719631,292,110,0.6045548654,483,-0.06050921002,955568,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.7152753173,22237599,Site All Hits: YouTube,Site All Hits
1,121.632665694,78.32576257,0.4901327147,282,,0.00883208862,241,161,0.4989648033,483,0.01801979006,955569,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.1863380239,22237599,Site All Hits: YouTube,Site All Hits
1,131.099942029,68.858486235,0.5282821857,282,,0.01002009176,260,142,0.5383022774,483,0.01896730957,955570,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.2113330573,22237599,Site All Hits: YouTube,Site All Hits
1,125.042202711,74.916225553,0.5038718334,282,,0.005444936774,246,156,0.5093167702,483,0.01080619398,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0.115542432,22237599,Site All Hits: YouTube,Site All Hits
1,135.607981741,112.55473429,0.5464478464,282,,-0.02263832263,253,230,0.5238095238,483,-0.04142814868,955924,More than Restaurant Aided Awareness: Prepared Restaurant Food,0.4550762915,22237599,Site All Hits: YouTube,Site All Hits
